Seg/Dir,Class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1SB,Lights,1160.1000000000001,1020.0996410770738,801.0,882.0,1217.7,2191.5,3040.2000000000003,2284.2,3009.2733373568794,2119.1132914916157,2477.1215271479755,4094.0,4147.0,4342.0,4437.0,3786.0,4961.599999999999,5086.2,6200.599999999999,6375.312765326628,4077.0,3487.5,3116.7000000000003,2226.6
1SB,Medium A,25.2,27.59689850256818,28.0,30.0,45.9,89.10000000000001,118.8,88.8,128.5200571158427,119.51170673897283,100.01836583370023,147.0,192.0,149.0,128.0,76.0,110.6,123.19999999999999,140.0,114.19302026142061,59.0,22.5,35.1,25.2
1SB,Medium B,13.5,3.9424140717954543,17.0,23.0,10.8,37.800000000000004,53.1,40.8,40.936018192453595,35.51205000243764,39.34055722792209,70.0,52.0,38.0,37.0,20.0,15.399999999999999,22.4,26.599999999999998,22.28156492905768,10.0,9.9,7.2,6.3
1SB,Heavy A,234.0,227.67441264618748,253.0,233.0,285.3,300.6,268.2,178.2,327.48814553962876,282.7305519424843,354.7318041568568,480.0,463.0,455.0,388.0,323.0,387.79999999999995,408.79999999999995,460.59999999999997,516.653786792525,339.0,267.3,244.8,219.6
1SB,Heavy B,30.6,35.48172664615909,25.0,28.0,26.1,28.8,14.4,7.8,8.568003807722846,15.024328847185156,10.668625688928024,15.0,11.0,13.0,9.0,4.0,5.6,2.8,22.4,34.81494520165263,23.0,24.3,22.5,22.5
1NB,Lights,896.0,595.0,469.0,700.0,1450.8,4208.400000000001,5278.5,6093.054995568851,5119.799999999999,5222.0,5124.0,3783.0,3663.0,3558.0,3895.0,3769.0,4720.799999999999,5598.599999999999,5926.2,5399.799999999999,3259.0,2833.2000000000003,2089.8,1458.0
1NB,Medium A,19.0,36.0,39.0,39.0,39.6,63.0,151.20000000000002,156.06817330661346,208.6,277.2,226.79999999999998,150.0,144.0,124.0,152.0,88.0,116.19999999999999,91.0,121.8,102.19999999999999,55.0,50.4,48.6,23.400000000000002
1NB,Medium B,5.0,4.0,2.0,2.0,9.9,41.4,79.2,53.72838753178496,47.599999999999994,57.4,62.99999999999999,41.0,45.0,32.0,37.0,26.0,39.199999999999996,22.4,25.2,21.0,7.0,5.4,3.6,6.3
1NB,Heavy A,215.0,249.0,234.0,303.0,254.70000000000002,262.8,257.40000000000003,266.08344301455406,424.2,606.1999999999999,599.1999999999999,439.0,410.0,401.0,356.0,295.0,424.2,401.79999999999995,401.79999999999995,429.79999999999995,303.0,271.8,220.5,215.1
1NB,Heavy B,34.0,37.0,35.0,37.0,19.8,18.0,11.700000000000001,5.116989288741425,8.399999999999999,15.399999999999999,18.2,9.0,16.0,11.0,12.0,5.0,11.2,9.799999999999999,9.799999999999999,21.0,23.0,25.2,37.800000000000004,27.900000000000002
2SB,Lights,852.0,553.0,432.0,828.0,1417.6933360841256,2242.8,3195.9,2379.6,2310.0,2455.2,2802.6,4705.2,4943.7,5222.7,5509.8,5881.033854529927,7206.396016780488,7369.583249801595,7629.634303760252,5534.4112877327,3379.5,3094.2000000000003,2344.5,1580.4
