Segment,Direction,Class,AADT,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
S1,SB,Lights,76539.82056,1160.1,1020.099641,801,882,1217.7,2191.5,3040.2,2284.2,3009.273337,2119.113291,2477.121527,4094,4147,4342,4437,3786,4961.6,5086.2,6200.6,6375.312765,4077,3487.5,3116.7,2226.6
S1,SB,Medium A,2123.240048,25.2,27.5968985,28,30,45.9,89.1,118.8,88.8,128.5200571,119.5117067,100.0183658,147,192,149,128,76,110.6,123.2,140,114.1930203,59,22.5,35.1,25.2
S1,SB,Medium B,652.8126044,13.5,3.942414072,17,23,10.8,37.8,53.1,40.8,40.93601819,35.51205,39.34055723,70,52,38,37,20,15.4,22.4,26.6,22.28156493,10,9.9,7.2,6.3
S1,SB,Heavy A,7898.478701,234,227.6744126,253,233,285.3,300.6,268.2,178.2,327.4881455,282.7305519,354.7318042,480,463,455,388,323,387.8,408.8,460.6,516.6537868,339,267.3,244.8,219.6
S1,SB,Heavy B,440.3576302,30.6,35.48172665,25,28,26.1,28.8,14.4,7.8,8.568003808,15.02432885,10.66862569,15,11,13,9,4,5.6,2.8,22.4,34.8149452,23,24.3,22.5,22.5
S1,NB,Lights,85109.955,896,595,469,700,1450.8,4208.4,5278.5,6093.054996,5119.8,5222,5124,3783,3663,3558,3895,3769,4720.8,5598.6,5926.2,5399.8,3259,2833.2,2089.8,1458
S1,NB,Medium A,2522.068173,19,36,39,39,39.6,63,151.2,156.0681733,208.6,277.2,226.8,150,144,124,152,88,116.2,91,121.8,102.2,55,50.4,48.6,23.4
S1,NB,Medium B,676.3283875,5,4,2,2,9.9,41.4,79.2,53.72838753,47.6,57.4,63,41,45,32,37,26,39.2,22.4,25.2,21,7,5.4,3.6,6.3
S1,NB,Heavy A,8240.583443,215,249,234,303,254.7,262.8,257.4,266.083443,424.2,606.2,599.2,439,410,401,356,295,424.2,401.8,401.8,429.8,303,271.8,220.5,215.1
S1,NB,Heavy B,458.3169893,34,37,35,37,19.8,18,11.7,5.116989289,8.4,15.4,18.2,9,16,11,12,5,11.2,9.8,9.8,21,23,25.2,37.8,27.9
S2,SB,Lights,83869.85205,852,553,432,828,1417.693336,2242.8,3195.9,2379.6,2310,2455.2,2802.6,4705.2,4943.7,5222.7,5509.8,5881.033855,7206.396017,7369.58325,7629.634304,5534.411288,3379.5,3094.2,2344.5,1580.4
S2,SB,Medium A,1868.732236,18,17,18,25,22.88206788,48.6,83.7,75,76.8,87,103.8,153.9,162.9,180.9,142.2,124.2735149,144.5727596,113.3782038,134.9334363,42.29225353,25.2,29.7,21.6,17.1
S2,SB,Medium B,413.9355683,10,7,7,0,3.979490066,17.1,37.8,25.8,19.8,22.2,31.2,27.9,35.1,28.8,19.8,30.83478189,14.45727596,25.71464417,26.20066725,7.048708921,0.9,8.1,2.7,4.5
S2,SB,Heavy A,3581.89082,121,108,104,97,122.3693195,146.7,153.9,96.6,105,150.6,189,253.8,230.4,222.3,171.9,159.7802334,144.5727596,187.015594,222.7056716,151.5472418,136.8,109.8,103.5,93.6
S2,SB,Heavy B,208.3500766,9,11,14,13,12.93334272,11.7,4.5,2.4,3.6,10.2,6.6,10.8,13.5,8.1,9,2.80316199,2.224196301,3.506542387,7.860200176,12.92263302,8.1,10.8,11.7,8.1
S2,NB,Lights,94861.15088,830,516,365,565,1379,3533.4,5300.1,7368.2,6154.4,6294.4,6367.2,4682,4542.155063,4929,5190,4801,5992.730788,5442.005853,6449.8,4319.935729,3182.4,3005.1,2124,1528.323449
S2,NB,Medium A,2077.748555,17,26,30,18,30,34.2,76.5,131.6,176.4,264.6,172.2,149,128.9422386,136,154,107,106.6085086,94.45257383,100.8,45.82675809,24.3,28.8,11.7,13.81847603
S2,NB,Medium B,558.9195811,5,5,3,3,0,27.9,51.3,39.2,42,65.8,60.2,31,33.88263205,33,40,27,33.31515893,26.35885781,9.8,12.22046882,5.4,0,2.7,1.84246347
S2,NB,Heavy A,3840.382059,95,110,100,133,111,123.3,126.9,141.4,260.4,253.4,296.8,210,211.7664503,188,197,155,193.2279218,164.7428613,184.8,163.9579567,131.4,108.9,85.5,94.88686873
S2,NB,Heavy B,192.2115622,10,12,14,13,9,9.9,4.5,5.6,0,5.6,4.2,6,8.470658013,10,14,5,3.997819072,4.393142969,5.6,6.110234412,7.2,5.4,13.5,14.73970776
S3,SB,Lights,90194.97034,1116,859,661,592,974.8703428,2691.9,3908.7,6018.6,5658.8,5849.2,6304.2,4817,4729,4727,4940,3886,4830,4988.2,5699.4,5966.8,3460.5,3116.7,2543.4,1856.7
S3,SB,Medium A,2887.843439,28,20,20,42,52.84343914,97.2,144,309.4,340.2,390.6,253.4,177,174,153,135,70,89.6,98,119,63,31.5,28.8,24.3,27
S3,SB,Medium B,908.5218756,6,2,11,6,18.22187557,45.9,70.2,119,75.6,99.4,81.2,73,74,53,41,22,21,33.6,22.4,19.6,4.5,2.7,4.5,2.7
S3,SB,Heavy A,7012.040319,179,156,183,177,216.8403192,225.9,193.5,315,422.8,480.2,590.8,405,385,369,306,262,292.6,322,351.4,415.8,228.6,188.1,179.1,167.4
S3,SB,Heavy B,400.0662507,30,29,20,19,21.86625068,22.5,10.8,18.2,5.6,19.6,14,11,13,11,8,2,7,5.6,22.4,29.4,18,18.9,23.4,19.8
S3,NB,Lights,63092.10201,521,358,350.5,534.5,1095.302007,2728.8,3152,4055.1,3523.8,3751.3,4175.5,3059,3063,3177.5,3405,3328.5,3942.4,4536.7,4363.8,3710,1984.95,1808.55,1517.4,949.5
S3,NB,Medium A,1954.836813,13,16.5,18.5,26.5,37.03681269,51.3,79,140,170.1,207.2,178.5,108,128,117,114.5,85,103.6,100.1,112,52.5,33.3,20.25,22.95,20
S3,NB,Medium B,450.5511867,4.5,5,1.5,0.5,7.901186708,16.65,31,28.7,29.4,39.2,44.8,31,35,24,24.5,27.5,25.9,26.6,20.3,11.2,2.7,6.3,0.9,5.5
S3,NB,Heavy A,5888.180261,157.5,160.5,145,193.5,201.4802611,171.9,161,218.4,312.2,494.9,466.9,304.5,315,306.5,237.5,222.5,297.5,270.2,278.6,265.3,180,185.85,166.95,174.5
S3,NB,Heavy B,376.209736,27.5,28,36.5,31,23.20973596,14.85,9,4.9,11.9,6.3,19.6,7,17.5,6.5,7.5,2.5,7.7,5.6,7,13.3,14.85,20.25,33.75,20
S4,SB,Lights,77801.5416,1104,829,694,582,879,2122,3305,3754.131671,3773.411395,3472.77232,3758.726218,4066,4019.4,4196.7,4467.6,3577,4660.6,4664.8,5370.4,6293,3843,3437,2852,2080
S4,SB,Medium A,2693.016274,23,11,18,35,74,136,160,191.5472518,213.609783,232.5753152,162.4839241,183,207,196.2,153,107,107.8,114.8,144.2,107.8,32,41,23,19
S4,SB,Medium B,852.2738693,4,6,6,8,1,31,75,75.84104385,75.90195335,87.74432347,71.98654864,78,81.9,54.9,45,28,25.2,25.2,26.6,21,6,6,4,8
S4,SB,Heavy A,6957.46679,188,179,173,198,254,263,234,266.4159745,344.811731,398.5495174,438.0895674,435,380.7,349.2,279.9,262,310.8,324.8,389.2,413,239,223,218,196
S4,SB,Heavy B,517.6305531,42,33,33,26,32,30,16,15.5571372,7.590195335,23.25753152,15.42568899,17,10.8,13.5,8.1,7,7,8.4,30.8,32.2,32,20,25,32
S4,NB,Lights,81175.48321,605,408,379,680,1420.2,4625.1,5803.2,5156.376886,5782.13818,5920.951512,4790.740864,3919.5,4007.7,4147.2,4447.8,4555.8,4120.885337,5248.210476,5414.607308,2761.566345,2186.1,2210,1532.7,1052.7063
